"Item Type","Author","Title",
"book","Huỳnh, Quang Huê Auteur du texte"
"book","Trần-Hoàng-Nam","Tình hiếu vẹn hai..."
"book","Nguyêñ, Thành Sự"
"book","","Tú ̛linh"
"book","Duơn̛g, Quang Nhiễu"
"book","","Võ-Ðông-So ̛thám Son̛-Ðông. Diễn theo tiểu-thuyêt̛ ""Giọt máu chung tình""... Viết       và xuất bản có xin phép ông Tân-Dân-Tủ ̛"
"book","Ngô, Vĩnh Khang"
"book","Ðặng, Lê ̃ Nghi"
"book","Huỳnh, Hà"
"book","Nguyễn, Thê ́ Phương"
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyêñ, Công Chánh"
"book","","Chánh-Ðúc̛ du Giang-nam"
"book","Trần-Hoàng-Nam","Dâp tắc lủa̛ phiền..."
"book","Nguyễn, Văn-Khoẻ"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyêñ, Ðình Chiêủ"
"book","Việt Aí","Một mối thâm thù..."
"book","Tân, Dân Tủ ̛"
"book","Huỳnh, Thủ Trung"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Tân, Dân Tủ ̛"
"book","Ngô, Vĩnh Khang"
"book","Ngô, Vĩnh Khang"
"book","Nguyễn, Bá Thời"
"book","","Vần chữ quốc-ngữ A B C hiệu ""con chó con gà"""
"book","Huỳnh, Thủ Trung"
"book","","Văn minh ca tập
"book","Huỳnh, Thủ Trung"
"book","Trần-Ngọc-Nũ ̛","Vọng-cổ hoài-tình ca diệu Bặc-Liêu"
"book","Nam, Huỳnh"
"book","Lê, Văn Tiếng"
"book","","Ân-tình ca khúc :  Ðiệu huê-tình ca giọng Bạc-Liêu"
"book","Nguyễn, Văn-Khoẻ"
"book","","Bài ca ân-tình
"book","Nguyễn, Bá Thời"
"book","","Chiêu-Quân cống Hồ..."
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyễn, Văn-Khoẻ"
"book","Thanh, Thủy"
"book","Thanh-Thủy","Giũ ̛ngọc gìn vàng..."
"book","Nguyễn, Bá Thời"
"book","","... Hậu Lâm-Sanh..."
"book","","... Hậu Phạm-Công..."
"book","Nguyễn, Bá Thời"
"book","","... Hoàng-Trùư ""Công chúa đội đèn""..."
"book","Ngô, Vĩnh Khang"
"book","","Lâm-Sanh Xuân-Nuơn̛g"
"book","Nguyễn, Bá Thời"
"book","","Ông phò nhị tẩu ""Quá-Quan trảm tuớn̛g""..."
"book","Nguyễn, Văn-Khoẻ"
"book","Nguyễn, Bá Thời"
"book","Ngô, Vĩnh Khang"
"book","Ngô, Vĩnh Khang"
"book","Ngô, Vĩnh Khang"
"book","Nguyễn, Thê ́ Phương"
"book","Thanh-Thủy","Tuyết sạch giá trong..."
"book","Nguyễn, Văn-Khoẻ"
"book","","Vọng-cổ ân-tình..."
"book","","Vọng-cổ điệu mói̛
"book","Tân, Son̛"
"book","","Vọng-cổ đồi-đáp điệu Bạc-Liêu"
"book","","Vọng-cổ đòi nay
"book","Trần-Ngọc-Nũ ̛","Vọng-cổ hoài-tình ca diệu Bặc-Liêu"
"book","Son̛, Vân"
"book","","Vọng-cổ Tú ̛-Ðổ-Tuờn̛g..."
"book","Tân, Son̛"
"book","","Vọng-cổ văn-minh điệu Bạc-Liêu"
"book","","Vọng-cổ văn-minh điệu Bạ̃c-Liêu"
"book","Nguyễn, Thê ́ Phương"
"book","Nguyễn, Bá Thời"
"book","Ðặng, Lê ̃ Nghi"
"book","Tân, Son̛"
"book","Nguyễn, Văn-Khoẻ"
"book","Nguyễn, Kim Khuê"
"book","Duơn̛g, Quang Nhiễu"
"book","Nguyễn, Bá Thời"
"book","","Bai ca ân-tình vọng-cổ mói̛ ca điệu Bạc-liêu"
"book","Tân, Son̛"
"book","Huỳnh, Hà"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Việt, Ðông; Anh
"book","Thanh-Thủy","Giọt lệ má đào..."
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Tân, Son̛"
"book","","Lý Công"
"book","Nguyễn, Bá Thời"
"book","Việt, Ðông"
"book","Duơn̛g, Quang Nhiễu"
"book","Ðiền, Viên"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","","Ông phò Nhị-Tấu ""Quá-Quan trảm tuớn̛g""..."
"book","Huỳnh, Kim Long"
"book","Huỳnh, Kim Long"
"book","Tân, Son̛"
"book","Nguyễn, Bá Thời"
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyêñ, Văn Kinh"
"book","","Tiền căn bảo hậu"
"book","Tân, Son̛"
"book","Nguyễn, Bá Thời"
"book","Tân, Son̛"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Việt, Ðông"
"book","Nguyễn, Văn-Khoẻ"
"book","Lê, Son̛ Tòng"
"book","","Vọng-cổ đối đáp điệu Bạc-Liêu"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Bá Thời"
"book","Nguyễn, Văn-Khoẻ"
"book","","Lang-Châu tho ̛"
"book","Nguyễn, Văn-Khoẻ"
"book","Nguyễn, Văn-Khoẻ"
"book","Việt, Ðông"
"book","Hoàng, Văn Ðào"
"book","Việt, Ðông"
"book","Việt, Ðông"
"book","Việt, Ðông"
"book","Việt, Ðông"
"book","Việt, Ðông"
"book","Việt, Ðông"
"book","Việt Ðông","Vọ ̛hiến của tôi..."
"book","Huỳnh, Thủ Trung"
"book","","... Ban tài tủ ̛10"
"book","","Ban tài tủ ̛3"
"book","","... Ban tài tủ ̛5"
"book","","... Ban tài tủ ̛6"
"book","","... Ban tài tủ ̛7"
"book","","... Ban tài tủ ̛8"
"book","","... Ban tài tủ ̛9"
"book","Nam, Tùng Tủ ̛"
"book","","Lô-Tô Hoa Nhụt̛ chiến tranh"
"book","","Vọng-cổ
"book","Việt, Ðông"
"book","","Vọng-cổ Hoa-Nhụt̛ chiến tranh 
"book","","Vọng-Cổ kêu Lô-Tô..."
"book","","Ban tài tủ ̛ :  vọng-cổ 10"
"book","","... Ban tài tủ ̛15"
"book","Nguyễn, Bá Thời"
"book","","... Ban tài tủ ̛14"
"book","","Ban tài-tũ ̛ :  vọng-cổ 3"
"book","","Ban tài tũ ̛1 :  vọng-cổ"
"book","","Ban tài tũ ̛4 :  vọng cổ"
"book","","Ban tài tũ ̛5 :  vọng cổ"
"book","","Ban tài tũ ̛6 :  vọng-cổ"
"book","Thuợn̛g-Bảy-Thanh","Ðại-dạo tam-kỳ phổ-độ... thuật các việc phạm luật Ðạo và luật Ðòi̛ của       ông Phạm Công-Tắc"
"book","","Giảng-tu Tịnh-Ðộ"
"book","Thanh, Thủy"
"book","Việt Dân","Hai gánh khổ tình..."
"book","Nguyêñ, Ðình Chiêủ"
"book","Phạm, Văn Ðiêù"
"book","Phạm, Văn Ðiêù"
"book","Phạm, Văn Ðiêù"
"book","Phạm, Văn Ðiêù"
"book","Phạm, Văn Ðiêù"
"book","Phạm, Văn Ðiêù"
"book","","Cách mạng vô sản..."
"book","Nguyển, Thế Xuơn̛g"
"book","","Tù ̛Ðệ-nhút̛ tói̛ Ðệ-tú ̛Quốc-tế"
"book","Nguyễn, Thị Kim"
"book","","Lâm-Sanh Xuân-Nuơn̛g"
"book","Nguyễn, Bá Thọ"
"book","","Bạch Viên Tôn Các"
"book","Ðặng, Tam Bá"
"book","Ðinh, Thái Sơn"
"book","","Mài guơm̛ dạy vọ ̛"
"book","Ðặng, Tam Bá"
"book","","Thạch-Sanh Lý Thông"
"book","","Thạch-Sanh Lý Thông"
"book","","Tiên-Bũư tho ̛tuồng"
"book","","Trần-Sanh Ngọc-Anh..."
"book","Ðặng, Lê ̃ Nghi"
"book","","Bạch-Viên Tôn-Các :  tho ̛"
"book","","Lâm Xanh Xuân nuơn̛g tho ̛"
"book","","Tiên-Bủư tho ̛tuồng"
"book","","Tiên-Bủư tho ̛tuồng co ̛hình"
"book","","Trần-Sanh Ngọc-Anh"
"book","Lê, Son̛ Tòng"
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyen, Thanh Long"
"book","Nguyen, Thanh Long"
"book","Nguyen, Thanh Long"
"book","Nguyễn, Bá Thọ"
"book","Nguyen, Thanh Long"
"book","Nguyen, Thanh Long"
"book","Nguyễn, Bá Thọ"
"book","Nguyen, Thanh Long"
"book","Nguyễn, Bá Thọ"
"book","Huỳnh, Hà"
"book","Nguyễn, Thành Châu"
"book","Nguyen, Thanh Long"
"book","","Bài ca Vọng-cổ Bạc liêu"
"book","Khấu, Võ Nghi"
"book","Nguyễn, Trọng That; Củ ̛
"book","Cú Hoành-Son","Cú Hoành-Son
"book","Củ ̛, Hoành Son̛"
"book","","... Chàng-Nhái Kiễn-Tiên"
"book","","Chiêu-Quân cống Hồ"
"book","","Con Tấm con Cám..."
"book","","Duơn̛g-Ngọc"
"book","Củ ̛, Hoành Son̛"
"book","Khấu, Võ Nghi"
"book","Khấu, Võ Nghi"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","Củ ̛, Hoành Son̛"
"book","","Hoàng Trùư
"book","","Lâm-Sanh
"book","","Lục Vân Tiên"
"book","","Lục Vân Tiên"
"book","Củ ̛, Hoành Son̛"
"book","","Lý-Công"
"book","","Mục-Liên Thanh-Ðế"
"book","","... Nàng Út"
"book","","Ngọc-Cam
"book","","... Ông Truợn̛g Tiên Bũư..."
"book","Võ-Trung-Trinh","Ông Trưọng-Tiên Bửu... Ngươi chép ra : Võ-Trung-Trinh"
"book","","... Phạm-Công Cúc-Hoa..."
"book","","Phụng-Kiều Lý-Ðáng"
